Spectral gain,, Spectral noise,, Inverted population,,Forward Pump power,,Backward Pump Power,,Lowest signal gain,,Forward ASE,,Backwards ASE
Wavelength (nm), Gain (dB), Wavelength (nm), Noise (dB),Position (cm), Inverted Population (%), Position (cm), Power (mW), Position(cm), Power (mW),Position (cm), Gain (dB),Position (cm), Forwards ASE sum (mW), Position(cm), Backwards ASE sum (mW)
1551,3.2070733322106433,1530.5,2.237435655207571,0.042042042042042045,58.52216242905755,0.042042042042042045,98.74480020975857,0.042042042042042045,0,0.042042042042042045,0.09584209131199846,0.042042042042042045,0.000031592841402511546,0.042042042042042045,0.0017499923275938773
1552,3.24375377944988,1531,2.168683471492432,0.044044044044044044,58.49996207476353,0.044044044044044044,98.68506944912274,0.044044044044044044,0,0.044044044044044044,0.100327811111245,0.044044044044044044,0.000033106994480931244,0.044044044044044044,0.0017467893860794127
1553,3.271551131999,1531.5,2.127538234435131,0.04604604604604604,58.477785621306175,0.04604604604604604,98.62534293016614,0.04604604604604604,0,0.04604604604604604,0.10480648121606592,0.04604604604604604,0.00003462201581253561,0.04604604604604604,0.0017435922710231594
1553.9999999999998,3.2918688258182316,1532,2.090628927985173,0.04804804804804805,58.455633054028915,0.04804804804804805,98.56562072326103,0.04804804804804805,0,0.04804804804804805,0.10927810921966258,0.04804804804804805,0.000036137903249807336,0.04804804804804805,0.001740400966074764
1555,3.304262666150069,1532.5000000000002,2.0275904439844856,0.050050050050050046,58.43350435820659,0.050050050050050046,98.50590289864938,0.050050050050050046,0,0.050050050050050046,0.11374270271055394,0.050050050050050046,0.0000376546546456182,0.050050050050050046,0.0017372154549356296
1556,3.2997844583848006,1533,1.9986942408810031,0.052052052052052045,58.4113995190459,0.052052052052052045,98.44618952644278,0.052052052052052045,0,0.052052052052052045,0.11820026927255858,0.052052052052052045,0.00003917226785324039,0.052052052052052045,0.0017340357213587335
1556.9999999999998,3.281419255941862,1533.5,1.9731426115622455,0.05405405405405404,58.38931852168589,0.05405405405405404,98.38648067662244,0.05405405405405404,0,0.05405405405405404,0.12265081648477066,0.05405405405405404,0.00004069074072635833,0.05405405405405404,0.0017308617491484527
1558,3.2676215801860584,1534,1.9278635571363685,0.056056056056056056,58.36726135119828,0.056056056056056056,98.32677641903908,0.056056056056056056,0,0.056056056056056056,0.12709435192153617,0.056056056056056056,0.000042210071119080024,0.056056056056056056,0.0017276935221603783
1559,3.2483525350561155,1534.5,1.9085387011001487,0.05805805805805805,58.345227992588086,0.05805805805805805,98.26707682341295,0.05805805805805805,0,0.05805805805805805,0.1315308831524371,0.05805805805805805,0.00004373025688594873,0.05805805805805805,0.0017245310243011406
1560,3.2020256481878135,1535.0000000000002,1.8918651793134056,0.06006006006006006,58.323218430794,0.06006006006006006,98.20738195933374,0.06006006006006006,0,0.06006006006006006,0.13596041774226583,0.06006006006006006,0.00004525129588195416,0.06006006006006006,0.0017213742395282264
1561,3.177639802328115,1535.5,1.8435260519605323,0.06206206206206205,58.30123265068867,0.06206206206206205,98.1476918962606,0.06206206206206205,0,0.06206206206206205,0.14038296325100724,0.06206206206206205,0.000046773185962544084,0.06206206206206205,0.0017182231518498082
1562,3.1292249010366664,1536,1.8318159982614355,0.06406406406406406,58.27927063707933,0.06406406406406406,98.088006703522,0.06406406406406406,0,0.06406406406406406,0.14479852723381567,0.06406406406406406,0.00004829592498363546,0.06406406406406406,0.0017150777453245611
