Labels	EY2_2 lifetime	
Type	Time Scan	
Comment		
Start	0.00	
Stop	7.992E007	
Step	8E04	
Fixed/Offset	 	
XAxis	Time	
YAxis	Counts	

2.712E007	3.669E+3	
2.72E07	3.584E+3	
2.728E007	3.651E+3	
2.736E007	3.630E+3	
2.744E007	3.538E+3	
2.752E007	3.608E+3	
2.76E07	3.521E+3	
2.768E007	3.537E+3	
2.776E007	3.668E+3	
2.784E007	3.663E+3	
2.792E007	3.487E+3	
2.8E07	3.537E+3	
2.808E007	3.539E+3	
2.816E007	3.590E+3	
2.824E007	3.589E+3	
2.832E007	3.524E+3	
2.84E07	3.529E+3	
2.848E007	3.498E+3	
2.856E007	3.694E+3	
2.864E007	3.547E+3	
2.872E007	3.603E+3	
2.88E07	3.571E+3	
2.888E007	3.544E+3	
2.896E007	3.503E+3	
2.904E007	3.497E+3	
2.912E007	3.465E+3	
2.92E07	3.494E+3	
2.928E007	3.606E+3	
2.936E007	3.442E+3	
2.944E007	3.495E+3	
2.952E007	3.486E+3	
2.96E07	3.499E+3	
2.968E007	3.457E+3	
2.976E007	3.526E+3	
2.984E007	3.396E+3	
2.992E007	3.410E+3	
3E07	3.540E+3	
3.008E007	3.426E+3	
3.016E007	3.411E+3	
3.024E007	3.506E+3	
3.032E007	3.541E+3	
3.04E07	3.437E+3	
3.048E007	3.505E+3	
3.056E007	3.369E+3	
3.064E007	3.329E+3	
3.072E007	3.368E+3	
3.08E07	3.353E+3	
3.088E007	3.351E+3	
3.096E007	3.482E+3	
3.104E007	3.396E+3	
3.112E007	3.430E+3	
3.12E07	3.355E+3	
3.128E007	3.380E+3	
3.136E007	3.384E+3	
3.144E007	3.393E+3	
3.152E007	3.390E+3	
3.16E07	3.393E+3	
3.168E007	3.439E+3	
3.176E007	3.314E+3	
3.184E007	3.427E+3	
3.192E007	3.440E+3	
3.2E07	3.340E+3	
3.208E007	3.446E+3	
3.216E007	3.355E+3	
3.224E007	3.353E+3	
3.232E007	3.405E+3	
3.24E07	3.374E+3	
3.248E007	3.319E+3	
3.256E007	3.368E+3	
3.264E007	3.308E+3	
3.272E007	3.252E+3	
3.28E07	3.226E+3	
3.288E007	3.385E+3	
3.296E007	3.372E+3	
3.304E007	3.271E+3	
3.312E007	3.310E+3	
3.32E07	3.263E+3	
3.328E007	3.237E+3	
3.336E007	3.294E+3	
3.344E007	3.290E+3	
3.352E007	3.351E+3	
3.36E07	3.288E+3	
3.368E007	3.321E+3	
3.376E007	3.302E+3	
3.384E007	3.291E+3	
3.392E007	3.273E+3	
3.4E07	3.229E+3	
3.408E007	3.320E+3	
3.416E007	3.198E+3	
3.424E007	3.367E+3	
3.432E007	3.105E+3	
3.44E07	3.265E+3	
3.448E007	3.251E+3	
3.456E007	3.231E+3	
3.464E007	3.240E+3	
3.472E007	3.217E+3	
3.48E07	3.143E+3	
3.488E007	3.214E+3	
3.496E007	3.175E+3	
3.504E007	3.179E+3	
3.512E007	3.224E+3	
3.52E07	3.366E+3	
3.528E007	3.310E+3	
3.536E007	3.169E+3	
3.544E007	3.196E+3	
3.552E007	3.214E+3	
3.56E07	3.174E+3	
3.568E007	3.166E+3	
3.576E007	3.234E+3	
3.584E007	3.139E+3	
3.592E007	3.283E+3	
3.6E07	3.273E+3	
3.608E007	3.147E+3	
3.616E007	3.312E+3	
3.624E007	3.113E+3	
3.632E007	3.171E+3	
3.64E07	3.201E+3	
3.648E007	3.228E+3	
3.656E007	3.163E+3	
3.664E007	3.141E+3	
3.672E007	3.191E+3	
3.68E07	3.160E+3	
3.688E007	3.139E+3	
3.696E007	3.090E+3	
3.704E007	3.146E+3	
3.712E007	3.158E+3	
3.72E07	3.119E+3	
3.728E007	3.176E+3	
3.736E007	3.105E+3	
3.744E007	3.159E+3	
3.752E007	3.079E+3	
3.76E07	3.106E+3	
3.768E007	3.091E+3	
3.776E007	3.147E+3	
3.784E007	3.113E+3	
3.792E007	3.067E+3	
3.8E07	3.170E+3	
3.808E007	3.154E+3	
3.816E007	3.172E+3	
3.824E007	3.093E+3	
3.832E007	3.192E+3	
3.84E07	3.029E+3	
3.848E007	3.164E+3	
3.856E007	3.052E+3	
3.864E007	3.103E+3	
3.872E007	3.105E+3	
3.88E07	3.175E+3	
3.888E007	3.157E+3	
3.896E007	3.140E+3	
3.904E007	3.059E+3	
3.912E007	3.115E+3	
3.92E07	3.136E+3	
3.928E007	3.108E+3	
3.936E007	3.139E+3	
3.944E007	3.118E+3	
3.952E007	3.087E+3	
